support,itemsets
0.0050933786078098476,['The Truman Show']
0.006791171477079796,['Spider-Man: No Way Home']
0.004244482173174873,['Spider-Man: Across the Spider-Verse']
0.003395585738539898,['Companion']
0.004244482173174873,['The Conjuring: Last Rites']
0.004244482173174873,['Hold the Fort']
0.003395585738539898,['Fackham Hall']
0.0050933786078098476,['Fall']
0.005942275042444821,['Blade Runner']
0.004244482173174873,['La La Land']
0.004244482173174873,['Hacksaw Ridge']
0.003395585738539898,['Iron Man']
0.003395585738539898,['Heat']
0.003395585738539898,['Love Actually']
0.003395585738539898,['Doctor Strange in the Multiverse of Madness']
0.004244482173174873,['Titanic: The Digital Resurrection']
0.003395585738539898,['2000 Meters to Andriivka']
0.003395585738539898,['Soul']
0.0050933786078098476,['Sketch']
0.00933786078098472,['Top Gun: Maverick']
0.007640067911714771,['Deadpool & Wolverine']
0.006791171477079796,"[""Zack Snyder's Justice League""]"
0.006791171477079796,['Skyfall']
0.006791171477079796,['John Wick']
0.005942275042444821,['John Wick: Chapter 3 - Parabellum']
0.0050933786078098476,['Dr. No']
0.004244482173174873,['The Matrix']
0.004244482173174873,['The Empire Strikes Back']
0.004244482173174873,['The Hunt']
0.003395585738539898,['Lethal Weapon']
0.003395585738539898,['Ready Player One']
0.003395585738539898,['Rambo: Last Blood']
0.003395585738539898,['Deadpool 2']
0.003395585738539898,['Star Wars']
0.003395585738539898,['The Island']
0.003395585738539898,['Alita: Battle Angel']
0.005942275042444821,['The Suicide Squad']
0.0050933786078098476,['Nobody']
0.0050933786078098476,['Turning Red']
0.003395585738539898,['Cruella']
0.003395585738539898,['CODA']
0.004244482173174873,['Mercy']
0.003395585738539898,['Afterburn']
0.00933786078098472,['Train Dreams']
0.004244482173174873,['G20']
0.004244482173174873,['Wick Is Pain']
0.004244482173174873,['A Nice Indian Boy']
0.007640067911714771,['Dune: Part Two']
0.003395585738539898,['The Fall Guy']
0.0050933786078098476,['KPop Demon Hunters']
0.003395585738539898,['Regretting You']
0.004244482173174873,['Hoppers']
0.004244482173174873,['Avatar: Fire and Ash']
0.008488964346349746,['The Batman']
0.007640067911714771,['She Rides Shotgun']
0.004244482173174873,['F1']
0.003395585738539898,['Inside Out 2']
0.003395585738539898,['The Garfield Movie']
0.006791171477079796,['To Get Her']
0.0050933786078098476,['Together']
0.003395585738539898,['The Long Walk']
0.0050933786078098476,['Barbie']
0.005942275042444821,['The Lord of the Rings: The Fellowship of the Ring']
0.005942275042444821,['X']
0.0050933786078098476,['Jaws']
0.0050933786078098476,['The Flash']
0.0050933786078098476,['No Country for Old Men']
0.004244482173174873,['The Man from U.N.C.L.E.']
0.004244482173174873,['Captain America: The First Avenger']
0.004244482173174873,['Ready or Not']
0.004244482173174873,['It Chapter Two']
0.003395585738539898,['Wrath of Man']
0.003395585738539898,['A Quiet Place Part II']
0.003395585738539898,['The Curse of Frankenstein']
0.003395585738539898,['Taken']
0.003395585738539898,['The Lord of the Rings: The Return of the King']
0.003395585738539898,['The Lord of the Rings: The Two Towers']
0.003395585738539898,['Back to the Future']
0.003395585738539898,['The Wolf of Wall Street']
0.007640067911714771,['28 Years Later']
0.003395585738539898,['Batman']
0.003395585738539898,['Downton Abbey: The Grand Finale']
0.003395585738539898,['Jumanji: Welcome to the Jungle']
0.0050933786078098476,['28 Days Later']
0.0050933786078098476,['Die Hard']
0.004244482173174873,['The Mummy']
0.004244482173174873,['Armageddon']
0.004244482173174873,['The Thing']
0.003395585738539898,['Jurassic World']
0.003395585738539898,['Gladiator']
0.003395585738539898,['Now You See Me']
0.003395585738539898,['Se7en']
0.003395585738539898,['Unforgiven']
0.003395585738539898,['Titanic']
0.003395585738539898,['Ant-Man']
0.0050933786078098476,['Dolly']
0.003395585738539898,['Christy']
0.003395585738539898,"[""Five Nights at Freddy's""]"
0.003395585738539898,['The Surfer']
0.004244482173174873,['The Gorge']
0.0050933786078098476,['Bullet Train']
0.004244482173174873,['Lady Bird']
0.003395585738539898,['Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)']
0.003395585738539898,['Jay Kelly']
0.006791171477079796,['The Phoenician Scheme']
0.005942275042444821,['The Super Mario Bros. Movie']
0.005942275042444821,['Jurassic Park']
0.005942275042444821,['Glass Onion: A Knives Out Mystery']
0.0050933786078098476,['Elio']
0.004244482173174873,['Thor: Love and Thunder']
0.004244482173174873,['The Rip']
0.004244482173174873,['The Substance']
0.004244482173174873,['Nope']
0.004244482173174873,['Guardians of the Galaxy Vol. 3']
0.003395585738539898,['Us']
0.003395585738539898,['King Richard']
0.003395585738539898,['Prey']
0.003395585738539898,['Scream']
0.003395585738539898,['The Bride!']
0.003395585738539898,['Star Wars: The Last Jedi']
0.003395585738539898,['Black Panther: Wakanda Forever']
0.003395585738539898,['Hereditary']
0.0050933786078098476,['The Thursday Murder Club']
0.003395585738539898,['Until Dawn']
0.0050933786078098476,['The Menu']
0.003395585738539898,['The Woman in Cabin 10']
0.003395585738539898,['Night Always Comes']
0.005942275042444821,['Die My Love']
0.0050933786078098476,['Grenfell: Uncovered']
0.003395585738539898,['In Search of Darkness: 1995-1999']
0.004244482173174873,['Freakier Friday']
0.0050933786078098476,['Sovereign']
0.003395585738539898,['Django Unchained']
0.003395585738539898,['Dunkirk']
0.0050933786078098476,['The Strangers: Chapter 3']
0.003395585738539898,['People We Meet on Vacation']
0.003395585738539898,['The Godfather']
0.003395585738539898,['Troy']
0.003395585738539898,['Echo Valley']
0.0050933786078098476,['STRAW']
0.004244482173174873,['M3GAN 2.0']
0.004244482173174873,['The Ballad of Wallis Island']
0.0050933786078098476,['Lurker']
0.004244482173174873,['Bambi: The Reckoning']
0.004244482173174873,['825 Forest Road']
0.007640067911714771,['How to Train Your Dragon']
0.003395585738539898,['Rosario']
0.004244482173174873,['Deadpool']
0.003395585738539898,['2001: A Space Odyssey']
0.003395585738539898,['Die Another Day']
0.004244482173174873,['Neighborhood Watch']
0.003395585738539898,"[""Good Luck, Have Fun, Don't Die""]"
0.004244482173174873,['40 Acres']
0.005942275042444821,['TRON: Ares']
0.004244482173174873,['The Salt Path']
0.003395585738539898,['Marshmallow']
0.004244482173174873,['Sharp Corner']
0.003395585738539898,['Before We Forget']
0.003395585738539898,"['Alien', 'Alien³']"
0.003395585738539898,"['Alien³', 'Aliens']"
0.003395585738539898,"['Alien', 'Alien³', 'Aliens']"
0.003395585738539898,"['Once Upon a Time... in Hollywood', 'Knives Out']"
0.003395585738539898,"['Almost Famous', 'Dr. No']"
0.003395585738539898,"['Almost Famous', 'Skyfall']"
0.003395585738539898,"['Almost Famous', 'Skyfall', 'Dr. No']"
0.003395585738539898,"['Nobody', 'The Northman']"
0.003395585738539898,"['The Northman', 'Everything Everywhere All at Once']"
0.003395585738539898,"['Nobody', 'The Northman', 'Everything Everywhere All at Once']"
0.004244482173174873,"['Sinners', 'Wicked']"
0.003395585738539898,"['Edge of Tomorrow', 'Aliens']"
0.003395585738539898,"['Edge of Tomorrow', 'Captain America: The Winter Soldier']"
0.003395585738539898,"['Skyfall', 'Captain America: The Winter Soldier']"
0.003395585738539898,"['Spider-Man: No Way Home', 'Captain America: The Winter Soldier']"
0.003395585738539898,"['Captain America: The Winter Soldier', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['The Batman', 'Captain America: The Winter Soldier']"
0.003395585738539898,"['Top Gun: Maverick', 'Captain America: The Winter Soldier']"
0.003395585738539898,"['Spider-Man: No Way Home', 'Captain America: The Winter Soldier', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['Captain America: The Winter Soldier', 'The Batman', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['Spider-Man: No Way Home', 'The Batman', 'Captain America: The Winter Soldier']"
0.003395585738539898,"['Spider-Man: No Way Home', 'Captain America: The Winter Soldier', 'The Batman', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['Top Gun: Maverick', 'The Batman', 'Captain America: The Winter Soldier']"
0.003395585738539898,"['Top Gun: Maverick', 'Captain America: The Winter Soldier', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'Captain America: The Winter Soldier']"
0.003395585738539898,"['Top Gun: Maverick', 'Captain America: The Winter Soldier', 'The Batman', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'The Batman', 'Captain America: The Winter Soldier']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'Captain America: The Winter Soldier', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['Mission: Impossible - Dead Reckoning Part One', 'Top Gun: Maverick', 'Spider-Man: No Way Home', 'Captain America: The Winter Soldier', 'The Batman']"
0.003395585738539898,"['Mad Max: Fury Road', 'Captain America: The Winter Soldier']"
0.003395585738539898,"['12 Angry Men', 'Edge of Tomorrow']"
0.003395585738539898,"['Captain America: The Winter Soldier', 'The Shining']"
0.003395585738539898,"['Warfare', 'Superman']"
0.003395585738539898,"['Everything Everywhere All at Once', 'The Batman']"
0.003395585738539898,"['Top Gun: Maverick', 'Everything Everywhere All at Once']"
0.003395585738539898,"['Top Gun: Maverick', 'Everything Everywhere All at Once', 'The Batman']"
0.004244482173174873,"['Joker', 'Knives Out']"
0.004244482173174873,"['Once Upon a Time... in Hollywood', 'Joker']"
0.003395585738539898,"['Top Gun: Maverick', 'Joker']"
0.003395585738539898,"['Joker', 'Casino Royale']"
0.004244482173174873,"['Casino Royale', 'Skyfall']"
0.003395585738539898,"['Dune', 'Everything Everywhere All at Once']"
0.003395585738539898,"['Dune', 'The Suicide Squad']"
0.003395585738539898,"['Dune', ""Zack Snyder's Justice League""]"
0.003395585738539898,"['Dune', 'Spider-Man: No Way Home']"
0.003395585738539898,"['Dune', 'The Batman']"
0.003395585738539898,"['Dune', 'John Wick: Chapter 4']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune']"
0.003395585738539898,"['Dune', 'Glass Onion: A Knives Out Mystery']"
0.003395585738539898,"['Dune', ""Zack Snyder's Justice League"", 'The Suicide Squad']"
0.003395585738539898,"['Dune', ""Zack Snyder's Justice League"", 'Spider-Man: No Way Home']"
0.003395585738539898,"['Dune', 'The Suicide Squad', 'Spider-Man: No Way Home']"
0.003395585738539898,"['Dune', ""Zack Snyder's Justice League"", 'The Suicide Squad', 'Spider-Man: No Way Home']"
0.003395585738539898,"['Dune', 'The Batman', 'Spider-Man: No Way Home']"
0.003395585738539898,"['Dune', 'The Batman', ""Zack Snyder's Justice League""]"
0.003395585738539898,"['Dune', 'The Batman', 'The Suicide Squad']"
0.003395585738539898,"['Dune', 'The Batman', ""Zack Snyder's Justice League"", 'Spider-Man: No Way Home']"
0.003395585738539898,"['Dune', 'The Batman', 'The Suicide Squad', 'Spider-Man: No Way Home']"
