factor_0,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15,factor_16,factor_17,factor_18,factor_19,factor_20,factor_21,factor_22,factor_23,factor_24,factor_25,factor_26,factor_27,factor_28,factor_29,factor_30,factor_31,factor_32,factor_33,factor_34,factor_35,factor_36,factor_37,factor_38,factor_39,factor_40,factor_41,factor_42,factor_43,factor_44,factor_45,factor_46,factor_47,factor_48,factor_49
0.05836020181853529,0.05170378044448376,-0.06390688338588213,-0.0106349698544482,0.023744766760908344,0.06673776213193147,0.10096093362443315,-0.000819983057704098,-0.009444969087990775,-0.00145343575330306,0.00430949884850853,-0.021421833675895535,-0.0025178050623097543,-0.014216454760387867,0.001389624572144303,-0.002216540014853293,0.008815683942567024,0.009907191538806164,0.0008849211460373332,-0.0043079645093233926,8.563744811986447e-07,-0.0010810557930531135,-0.015486749609444567,-0.010334186683409996,-0.0005875475265262937,-3.669277293734072e-05,0.009555928048599288,-0.003884704402657121,-0.0016500373536419732,0.00019120154637773852,0.008208065840581586,0.0023627960231151364,-0.0007846857972837797,-0.004975642000351019,-0.0013276630213139647,-0.004412440410411072,-0.00276843342223639,-0.0015447965203232682,-0.0006170980297709077,-0.0047112280026766476,-0.009858034423974685,0.0037126379930428675,0.0015824642489127,-0.0018687604614282957,-0.011439082227018522,-0.005630859971127186,-0.004708225357841512,-0.0004214980764479474,0.005391106379499767,0.006962311149218059
0.03504722466134312,-0.026848919284914587,-0.05627098040704699,-0.0021053947019323872,0.012524387910224614,-0.000768393935491468,0.0007154927249359368,-0.000531612861157166,-0.013664029082661386,-0.0013266411715304558,-0.0010522852373362297,-0.01214110081458424,0.0002347725196002805,-0.0060787534682303235,0.003747501654265372,-0.0013536417339480454,-0.0039174744347642235,0.0022309398142491875,0.0003089492418326839,-0.003348619293793717,-0.000283628165031185,-0.001490700945011425,0.00029965138750784516,-0.0006680057587694695,-0.007717388470655398,-0.0008732674363903269,-0.0030897350989975824,0.0008122735538654979,0.0015615693986512414,0.0008325362833782998,0.004556476921600917,0.0036595205264572305,-0.005632916327815931,0.0027104133603327654,8.263338492772749e-05,-0.004576544319356882,-0.0039956582835435845,0.0037210769020349244,-0.0021826252344120892,0.007162401984858884,-0.01397297165007628,0.006481809242779854,-0.0015808804195994001,-0.001694134076216855,-0.00014165422916021924,0.005133015642014775,0.014925180767127004,-0.015028057705696622,-0.019087282632592982,-0.025043678073428794
1.2172143188793821e-17,1.5070774133150793e-14,-2.350945325047238e-13,-2.4880209387503656e-13,2.539381693594629e-12,1.9660334710241098e-12,-1.7508144670309576e-12,1.7837214635216634e-11,-2.2519196692273686e-11,-8.725105348414287e-11,1.9883141826136837e-10,2.3337098286672683e-10,-3.843202682543228e-10,-1.4172718073581328e-09,-4.973645359061319e-10,-1.113523582619456e-09,-8.605575592789292e-10,6.46544283426209e-09,-4.845729052456023e-09,1.5675569218784603e-08,-1.5314094707771067e-09,1.621937987113926e-08,1.090186194780734e-08,-2.535370609505318e-09,-6.949688579379503e-09,-6.73306264544415e-09,-1.1073443266804972e-08,3.773771816639208e-09,2.712168991523935e-08,-2.9661712402632888e-08,4.755615030819596e-08,-3.2876927975919046e-08,-2.1700420031328447e-08,-8.370272285897353e-08,1.9250088607401953e-07,-2.4651315841920413e-08,5.18456480035996e-08,-1.1110887420112513e-07,1.3879702874355272e-07,2.3353279689258572e-08,-1.0239010061670399e-08,-4.019418902925561e-08,1.5856837528257607e-07,3.107178164573743e-07,2.981840822419133e-07,-2.390997383140153e-07,7.253429830886235e-08,-5.715883539203878e-07,-2.1194441223332298e-07,-2.91881868491889e-07
-1.0950278446929804e-14,-1.8835976190443403e-13,-1.2086996729523332e-11,6.267579732396122e-11,3.05445661354094e-11,3.128152466627315e-10,4.2533056738264387e-10,1.374375597570965e-11,2.44199752553048e-10,4.883669251870944e-09,9.179271017966993e-10,-1.337966803060004e-08,9.913207641611558e-09,-1.2403379124660609e-08,1.868179910826306e-08,4.816347644968982e-08,9.392758828838967e-08,-1.52710283103794e-07,-2.7706976096994056e-07,2.6092144985508057e-08,4.3371230059598224e-07,-1.2089583362514867e-06,7.430919047013806e-07,6.555334846270548e-07,9.082920369217933e-07,7.238972036426753e-07,2.2519509622747324e-07,3.919214284663943e-06,9.614514121094876e-07,-5.396181822824436e-06,8.967683463563165e-06,2.9748708238329826e-06,2.5228265552597195e-06,-1.0640754480447463e-05,5.315462880934155e-06,-4.217084975425985e-06,7.062985949202261e-06,-1.566890593832669e-05,6.857838211636072e-06,-7.658212383662965e-06,7.409246091419439e-06,-9.058449552528487e-06,-2.760428773463305e-05,-2.881215289581462e-05,-1.6200045375606434e-05,-5.573995679701744e-05,4.346944639153493e-05,-1.3121289206739218e-05,-5.9422819399162564e-05,-9.427330092407951e-06
0.012361566069105476,0.05474691580598983,-0.013133134319695677,-0.055136247574890995,-0.006240386323443175,0.02292630437066747,0.0038281106744504217,0.00030845463838291613,-0.012911332130824167,-0.0002226329921794558,-0.007792611873446945,-0.006124764904112243,-0.0067947017048649045,-0.00498496252765544,-0.0006594385268124872,-0.00042609689532747323,0.0015768154424637658,0.001213162336149788,1.1502004691753035e-05,-0.0003484510293134291,-1.3436262618520988e-05,0.00047316320205247303,-0.007489162255687624,0.0014152610981971302,0.0037030525198016614,0.000198019538368135,0.0008287181460253663,0.0002931654249147041,2.3010641024900165e-05,0.00024359283526695724,-9.023314255593216e-05,-0.0008044879472255326,0.0002682843338181446,-0.0031361350857166937,0.00047134804062984407,0.0033754020419731355,0.00012146982715052853,-0.00027746109813934496,-0.0006992444832213982,-0.0005296774142627628,-0.0004958129879045054,0.00027950131322972236,-0.0003941762945523315,-0.0010515057427515464,-0.0007305644574146394,-0.003231088696867105,-0.002011134352323225,-0.0012759021551265685,0.0011659247379225005,0.0025865274343854373
0.017973597892133993,0.06790642345751634,-0.020256486350356023,-0.016340245654958375,-0.05047889071730178,-0.032216289013646024,0.00337975565357104,0.000638140353064535,-0.015902080275597395,0.0081470822614398,-0.011421684031000289,-0.00686061459120744,-0.015048880255915482,-0.005085477177839177,-0.0019935716152404614,-0.00022092224190125285,-0.0061175895872036005,0.002170788980892995,-9.55251409638922e-05,-0.0025785485983507196,0.0004422624118738977,0.0001215238574829112,-0.0015337050217574075,0.002025875327952597,0.005681695035121065,0.0003409753132572491,0.0010134520990876619,0.0005991052688648852,0.0003596085725300575,8.887623720719034e-06,-0.0004906610620559383,-0.0010637048833616665,-4.89684571860829e-05,-0.012534379913719848,-0.00016854658838682187,-0.006794576746848011,0.0010451582577434757,0.00021611748274487876,-0.0003768013381685238,-0.0005301904914466613,0.0019914547117800053,0.00012462049811007221,2.3114772957162566e-05,-0.001027780375003377,-0.005161916082791408,-0.0053174641461438505,-0.003570159654571598,-0.0008687718881223616,0.0011859450071785992,0.002633106059825452
0.024007855948283408,0.08858435548747691,-0.026865638205188433,-0.014948810572290614,-0.07130777951957178,-0.05020550693124482,0.004144381597613325,0.0008253193377621484,-0.019406082245180034,0.011065515499784065,-0.015480552335233334,-0.008528170317772444,-0.020682186042777308,-0.008249655294956212,-0.001559818286349892,-0.0003985849807072784,-0.008497077719807324,0.002355757433202152,-8.048213551397379e-05,0.004659914576956265,0.00012255185019745377,-2.94529405644106e-05,-0.0001418934841540391,0.001500414373043211,0.0035162335368927435,0.00013762185439081747,0.0023227559795556303,-0.0010257235395745498,-0.0007664652704013426,-0.0002600935132992637,0.0038424093114994345,0.0011413427068240293,0.0007492466582920779,-0.007664767987820616,-0.0014839166647729065,-0.0255197886828136,-0.0030675552945965893,-0.0035485694639267014,0.018509403276303907,-0.007941864022492131,-0.016283674405421424,0.0005978085092530252,-0.00014569349866614398,0.0058755197974398,0.015854467072213687,0.03174399932754606,-0.0024993099453792327,0.0039291980745449285,-0.003601211517450527,-0.0024650885892987854
0.05165471727726014,0.06047915638964397,-0.061581325030358645,-0.029591594120555842,-0.03998736409356986,-0.03293014898917941,-0.005915419399953218,-0.0001485870508577516,-0.02042503378171706,0.030378789804306496,0.004226815048581841,-0.03016863638935991,-0.007671001366077266,0.0021295082392340037,-0.06162462692507376,-0.0007082174411462465,0.17177243894502078,-2.591031771194592e-06,0.0005947976164038029,-0.011839037044807998,-0.0043744393614543265,0.002309898764739378,-0.031919743713300516,0.010383706177346677,-0.01649865454728678,-0.001342348854153883,-0.013376104319384737,0.0015258203848609484,0.0011385480736845002,0.0007033103633465146,-0.015837473830807983,-0.0001737661516651392,-0.001782665367433148,-0.008603489183848269,-0.0036044623436784695,-0.02793741437058652,0.0001527558139950751,0.0025691552451972263,-0.008403973204072383,-0.005756926310810382,-0.004942981869508101,0.0032938657922965352,0.0026862097275369163,-0.003711173524009929,-0.01148951768987932,-0.019505240919608563,0.0051365241290665595,0.0013070771146979538,0.005686488687907885,0.0029369694979532175
0.011741294815849047,0.025537429318880277,-0.011088361946356422,0.03226700954562113,-0.03832932585953135,-0.07052910346036348,-0.01716298262320914,-0.00200242752952894,0.06912252620260394,0.010877808782013972,0.06511505276243638,-0.03826301516720085,-0.06375351506285129,0.00024022850010206248,0.009633434460405918,0.000505872819869504,-0.028020721105568892,0.0009180724467540133,-0.0002846760755937303,-0.009759904194795515,0.00303421019775848,-0.0008507531980934263,0.009025280273573952,-0.012948788242666823,0.005882768530950187,0.0012818152074022897,0.010753365736529165,-0.003137362118778854,-0.0013354934413736424,-0.0008191476915082937,0.008496961478640144,0.0038479685557982705,-0.002198003585765634,-0.0004946207997937312,-0.0021660415491426685,-0.021709106717426572,-0.00038083488629247255,-0.003814692589955682,0.02165862813543879,-0.0024897967370510897,-0.009011010061383377,0.004998199347526937,0.012021605467992972,-0.009243432935197885,-0.0011580790565018058,-0.020314807924401945,0.01699664065406967,0.005083825793567295,0.010777622912006098,0.0012291395448601266
0.006925686547721664,0.01879391524754202,-0.008385799574754056,0.03288082156499,-0.044237848664618,-0.05209523745223315,-7.949874840153155e-05,0.00035043001440921876,-0.0040671889317627965,0.008139182986299062,-0.004166087719063321,-0.001211497889258196,-0.00853495318477614,-0.0004674456983415278,-0.0013334297903750303,0.00016630915034340424,-0.007257980201026098,0.0009891015256937473,-0.00010118300481501075,-0.0021304250230483076,0.00042906731125322723,-0.0003059047698225797,0.005209217940143716,0.0006477620196717811,0.002029178802921684,0.00013998767251053893,0.0002126088412284932,0.0002937125315606799,0.0003073908470217734,-0.00020883240055622637,-0.00036690884973531677,-0.00026400224246034265,-0.00027736755898460187,-0.008682155063825626,-0.0005707624965636021,-0.009208962976770737,0.0008345738337893108,0.000445177805204694,0.00027209491155821873,-2.2420424300990028e-06,0.00224803409076629,-0.00015010498888444712,0.0003532946780210658,1.3671114175234937e-05,-0.004014172190187353,-0.0019090406045456773,-0.0013858655876645284,0.0003583549556197827,3.463682802437255e-05,1.894673487313127e-05
