user_idx,avg_rating,num_ratings,rating_std,genre_count_scaled_pref,genre_action_pref,genre_adventure_pref,genre_animation_pref,genre_comedy_pref,genre_crime_pref,genre_documentary_pref,genre_drama_pref,genre_family_pref,genre_fantasy_pref,genre_game_show_pref,genre_history_pref,genre_holiday_pref,genre_horror_pref,genre_music_pref,genre_musical_pref,genre_mystery_pref,genre_romance_pref,genre_science_fiction_pref,genre_superhero_pref,genre_suspense_pref,genre_thriller_pref,genre_tv_movie_pref,genre_war_pref,genre_western_pref,user_cluster
62,0.6081871345029239,57,0.1970967219272969,0.3157894736842105,0.45614035087719296,0.45614035087719296,0.10526315789473684,0.17543859649122806,0.12280701754385964,0.0,0.38596491228070173,0.14035087719298245,0.21052631578947367,0.0,0.017543859649122806,0.0,0.07017543859649122,0.0,0.0,0.07017543859649122,0.14035087719298245,0.2807017543859649,0.0,0.0,0.24561403508771928,0.0,0.0,0.017543859649122806,0
3462,0.4444444444444445,1,,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
760,0.5652173913043478,23,0.2505057588497784,0.3840579710144928,0.34782608695652173,0.4782608695652174,0.34782608695652173,0.4782608695652174,0.08695652173913043,0.0,0.30434782608695654,0.391304347826087,0.17391304347826086,0.0,0.0,0.0,0.08695652173913043,0.08695652173913043,0.0,0.043478260869565216,0.08695652173913043,0.17391304347826086,0.0,0.0,0.21739130434782608,0.0,0.0,0.0,0
1768,1.0,1,,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
329,0.5665101721439749,71,0.30234528865569904,0.28873239436619713,0.29577464788732394,0.2535211267605634,0.09859154929577464,0.38028169014084506,0.18309859154929578,0.0,0.3380281690140845,0.15492957746478872,0.15492957746478872,0.0,0.014084507042253521,0.0,0.1267605633802817,0.0,0.0,0.11267605633802817,0.09859154929577464,0.28169014084507044,0.0,0.0,0.15492957746478872,0.0,0.04225352112676056,0.04225352112676056,0
3378,0.8888888888888888,1,,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1612,0.7111111111111111,15,0.13801311186847082,0.28888888888888886,0.06666666666666667,0.3333333333333333,0.2,0.4,0.0,0.2,0.3333333333333333,0.2,0.2,0.0,0.26666666666666666,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0
1271,0.6666666666666665,3,0.0,0.27777777777777773,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,1
143,1.0,1,,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2341,0.6666666666666665,1,,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
