user_idx,movie_idx,rating_scaled
62,1575,0.8888888888888888
3462,2491,0.4444444444444445
760,1947,0.5555555555555556
1768,2083,1.0
329,1569,0.0
3378,2161,0.8888888888888888
1612,2135,0.5555555555555556
1271,281,0.6666666666666665
143,1841,1.0
2341,225,0.6666666666666665
2317,2588,0.1111111111111111
760,2052,0.5555555555555556
432,2028,0.7777777777777777
1663,73,0.7777777777777777
679,1705,0.6666666666666665
971,79,0.2222222222222222
323,1972,0.5555555555555556
1853,84,1.0
961,2325,0.3333333333333333
2619,2434,0.1111111111111111
2750,565,0.5555555555555556
170,2499,0.7777777777777777
3079,2563,0.7777777777777777
2803,210,0.5555555555555556
170,2049,0.3333333333333333
873,1942,0.7777777777777777
350,2140,0.8888888888888888
677,2102,0.5555555555555556
1119,2669,0.6666666666666665
3451,296,0.6666666666666665
1437,2479,0.6666666666666665
545,2265,0.6666666666666665
901,2490,0.4444444444444445
203,351,0.6666666666666665
898,2401,0.6666666666666665
679,1901,0.6666666666666665
491,654,0.1111111111111111
61,2014,0.7777777777777777
680,61,0.7777777777777777
2975,1257,0.5555555555555556
472,2359,0.6666666666666665
679,1625,0.7777777777777777
3386,2080,0.0
318,2109,0.4444444444444445
1440,2498,0.2222222222222222
2251,2087,0.4444444444444445
170,1984,0.7777777777777777
1711,1780,0.8888888888888888
2909,772,0.5555555555555556
968,1711,0.3333333333333333
354,1403,0.7777777777777777
1311,2538,0.1111111111111111
1711,1478,0.4444444444444445
1382,714,1.0
1399,2314,0.2222222222222222
360,588,0.3333333333333333
354,1959,0.5555555555555556
11,1815,0.2222222222222222
759,2263,0.7777777777777777
453,2230,0.8888888888888888
2492,1822,0.4444444444444445
1413,829,0.6666666666666665
3412,1718,1.0
586,2590,0.3333333333333333
1294,205,0.5555555555555556
433,2453,0.7777777777777777
600,2107,0.5555555555555556
62,1453,0.6666666666666665
1706,2357,0.8888888888888888
56,1684,0.6666666666666665
1344,2137,0.8888888888888888
530,1670,0.5555555555555556
1158,2194,0.7777777777777777
545,2485,0.7777777777777777
3498,2213,0.5555555555555556
1125,774,0.3333333333333333
183,2340,0.5555555555555556
968,1630,0.5555555555555556
1711,1467,0.6666666666666665
1711,2609,0.6666666666666665
183,2288,0.6666666666666665
3396,1834,0.7777777777777777
61,1704,0.4444444444444445
280,1547,0.6666666666666665
48,394,0.7777777777777777
183,1771,0.6666666666666665
1711,2310,0.7777777777777777
62,1409,0.7777777777777777
1328,12,0.6666666666666665
136,522,0.0
179,1828,0.2222222222222222
545,1680,0.3333333333333333
352,1674,0.0
1652,290,0.4444444444444445
873,1750,0.7777777777777777
1437,31,0.5555555555555556
170,2082,0.2222222222222222
1571,2223,1.0
354,1443,0.5555555555555556
1002,1575,1.0
1618,708,0.3333333333333333
183,269,0.6666666666666665
898,176,0.6666666666666665
727,1646,0.6666666666666665
3473,145,0.6666666666666665
545,2254,0.2222222222222222
862,2052,0.6666666666666665
1013,164,0.1111111111111111
2648,589,0.5555555555555556
159,887,0.6666666666666665
1957,937,0.5555555555555556
183,368,0.5555555555555556
452,2065,1.0
1946,693,0.1111111111111111
3370,21,0.5555555555555556
354,843,0.5555555555555556
183,1579,0.6666666666666665
34,2521,0.0
453,2219,0.7777777777777777
645,848,0.5555555555555556
1013,2585,0.4444444444444445
843,1714,1.0
352,1509,1.0
968,1668,0.6666666666666665
280,1621,0.6666666666666665
1711,2671,0.6666666666666665
280,1969,0.7777777777777777
131,2190,0.1111111111111111
2397,386,0.1111111111111111
600,347,0.4444444444444445
968,2161,0.6666666666666665
183,1512,0.6666666666666665
2567,254,0.3333333333333333
2906,2357,0.2222222222222222
1567,213,0.7777777777777777
329,1792,0.8888888888888888
193,551,0.7777777777777777
183,2399,0.6666666666666665
83,668,0.5555555555555556
545,2079,0.3333333333333333
183,196,0.6666666666666665
1158,91,0.6666666666666665
61,86,0.6666666666666665
183,515,0.5555555555555556
1035,826,1.0
314,2582,0.3333333333333333
532,1819,1.0
1934,2586,0.8888888888888888
3391,2234,0.7777777777777777
1573,450,0.4444444444444445
679,1383,0.8888888888888888
1477,1399,0.3333333333333333
2014,953,0.4444444444444445
193,2189,0.5555555555555556
419,420,0.2222222222222222
897,1661,0.6666666666666665
2723,82,0.7777777777777777
968,1996,0.7777777777777777
1508,2598,0.5555555555555556
679,2412,0.3333333333333333
62,1524,0.7777777777777777
183,2295,0.6666666666666665
1064,2305,0.7777777777777777
2841,2323,0.2222222222222222
183,2615,0.5555555555555556
545,2075,0.6666666666666665
600,1371,0.2222222222222222
1945,222,1.0
815,2594,0.5555555555555556
1330,271,0.7777777777777777
61,1867,0.7777777777777777
628,2046,0.7777777777777777
779,2228,0.5555555555555556
1400,1756,0.5555555555555556
208,2589,0.6666666666666665
150,375,0.2222222222222222
