user_idx,rating_scaled,year_scaled,genre_count_scaled,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_game_show,genre_history,genre_holiday,genre_horror,genre_music,genre_musical,genre_mystery,genre_romance,genre_science_fiction,genre_superhero,genre_suspense,genre_thriller,genre_tv_movie,genre_war,genre_western,cluster
62,0.8888888888888888,0.8989898989898997,0.5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3462,0.4444444444444445,0.9898989898989896,0.3333333333333333,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,0.5555555555555556,0.9393939393939376,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
1768,1.0,0.949494949494948,0.3333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
329,0.0,0.5555555555555536,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3378,0.8888888888888888,0.5858585858585847,0.3333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
1612,0.5555555555555556,0.9898989898989896,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1271,0.6666666666666665,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,5
143,1.0,0.9898989898989896,0.1666666666666666,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2341,0.6666666666666665,0.9898989898989896,0.5,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2317,0.1111111111111111,0.9898989898989896,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5
760,0.5555555555555556,0.949494949494948,0.1666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
432,0.7777777777777777,0.9898989898989896,0.3333333333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1663,0.7777777777777777,1.0,0.1666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
679,0.6666666666666665,0.9191919191919168,0.1666666666666666,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
971,0.2222222222222222,0.9898989898989896,0.1666666666666666,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
323,0.5555555555555556,0.9898989898989896,0.3333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
1853,1.0,0.9898989898989896,0.1666666666666666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
961,0.3333333333333333,0.9898989898989896,0.3333333333333333,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2619,0.1111111111111111,0.9898989898989896,0.3333333333333333,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2750,0.5555555555555556,0.9898989898989896,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6
170,0.7777777777777777,0.9696969696969688,0.3333333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3079,0.7777777777777777,0.9898989898989896,0.1666666666666666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2803,0.5555555555555556,0.9898989898989896,0.1666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
170,0.3333333333333333,0.9696969696969688,0.3333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
873,0.7777777777777777,0.949494949494948,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,5
350,0.8888888888888888,0.8686868686868685,0.3333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
677,0.5555555555555556,0.8484848484848477,0.3333333333333333,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1119,0.6666666666666665,0.9898989898989896,0.1666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5
3451,0.6666666666666665,0.9898989898989896,0.1666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5
1437,0.6666666666666665,0.9898989898989896,0.1666666666666666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
545,0.6666666666666665,0.9797979797979792,0.3333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
901,0.4444444444444445,0.9898989898989896,0.1666666666666666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
203,0.6666666666666665,0.9898989898989896,0.3333333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
898,0.6666666666666665,0.9898989898989896,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
679,0.6666666666666665,0.8585858585858581,0.1666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
491,0.1111111111111111,0.9898989898989896,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5
61,0.7777777777777777,0.7979797979797958,0.3333333333333333,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
680,0.7777777777777777,0.8383838383838373,0.5,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2975,0.5555555555555556,1.0,0.1666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
472,0.6666666666666665,0.5454545454545432,0.1666666666666666,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
679,0.7777777777777777,0.9191919191919168,0.3333333333333333,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3386,0.0,0.9595959595959584,0.5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
318,0.4444444444444445,0.949494949494948,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
1440,0.2222222222222222,0.9898989898989896,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2251,0.4444444444444445,0.9898989898989896,0.6666666666666666,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
170,0.7777777777777777,0.9898989898989896,0.3333333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1711,0.8888888888888888,0.7878787878787854,0.3333333333333333,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2909,0.5555555555555556,0.9898989898989896,0.1666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5
968,0.3333333333333333,0.8181818181818166,0.1666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
354,0.7777777777777777,0.7777777777777786,0.1666666666666666,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1311,0.1111111111111111,1.0,0.5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1711,0.4444444444444445,0.8787878787878789,0.3333333333333333,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1382,1.0,0.9898989898989896,0.1666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
1399,0.2222222222222222,0.9898989898989896,0.1666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5
360,0.3333333333333333,1.0,0.1666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5
354,0.5555555555555556,0.828282828282827,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
11,0.2222222222222222,0.6262626262626263,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
759,0.7777777777777777,0.9898989898989896,0.1666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
453,0.8888888888888888,0.8888888888888893,0.3333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2492,0.4444444444444445,0.9898989898989896,0.1666666666666666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1413,0.6666666666666665,0.9898989898989896,0.1666666666666666,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
3412,1.0,0.7979797979797958,0.3333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
586,0.3333333333333333,0.9898989898989896,0.1666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5
1294,0.5555555555555556,0.9898989898989896,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
433,0.7777777777777777,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,5
600,0.5555555555555556,0.9797979797979792,0.3333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
62,0.6666666666666665,0.8888888888888893,0.1666666666666666,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1706,0.8888888888888888,0.9898989898989896,0.3333333333333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,0.6666666666666665,0.9393939393939376,0.3333333333333333,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1344,0.8888888888888888,0.8585858585858581,0.1666666666666666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
530,0.5555555555555556,0.9292929292929272,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1158,0.7777777777777777,0.7272727272727266,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5
545,0.7777777777777777,0.9898989898989896,0.1666666666666666,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3498,0.5555555555555556,0.9898989898989896,0.3333333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1125,0.3333333333333333,0.9898989898989896,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
183,0.5555555555555556,0.9797979797979792,0.1666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5
968,0.5555555555555556,0.9292929292929272,0.3333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
1711,0.6666666666666665,0.7272727272727266,0.3333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
1711,0.6666666666666665,0.9797979797979792,0.5,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
183,0.6666666666666665,0.8585858585858581,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3396,0.7777777777777777,0.949494949494948,0.1666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
61,0.4444444444444445,0.9191919191919168,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
280,0.6666666666666665,0.8989898989898997,0.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
48,0.7777777777777777,0.9898989898989896,0.1666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
183,0.6666666666666665,0.9797979797979792,0.3333333333333333,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1711,0.7777777777777777,0.9898989898989896,0.6666666666666666,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
62,0.7777777777777777,0.8686868686868685,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1328,0.6666666666666665,0.9898989898989896,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136,0.0,0.9898989898989896,0.3333333333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
179,0.2222222222222222,0.9595959595959584,0.3333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
545,0.3333333333333333,0.9191919191919168,0.1666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
352,0.0,0.7272727272727266,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1652,0.4444444444444445,0.9898989898989896,0.1666666666666666,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,0.7777777777777777,0.7979797979797958,0.3333333333333333,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1437,0.5555555555555556,0.9898989898989896,0.1666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
170,0.2222222222222222,0.9797979797979792,0.1666666666666666,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1571,1.0,0.4848484848484844,0.3333333333333333,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
354,0.5555555555555556,0.8181818181818166,0.3333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
1002,1.0,0.8989898989898997,0.5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1618,0.3333333333333333,0.9898989898989896,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
183,0.6666666666666665,0.5555555555555536,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,5
898,0.6666666666666665,0.9898989898989896,0.3333333333333333,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
727,0.6666666666666665,0.8989898989898997,0.3333333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3473,0.6666666666666665,0.9898989898989896,0.5,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
545,0.2222222222222222,0.9898989898989896,0.3333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
862,0.6666666666666665,0.949494949494948,0.1666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1013,0.1111111111111111,0.9898989898989896,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2648,0.5555555555555556,0.9898989898989896,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
159,0.6666666666666665,1.0,0.3333333333333333,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
1957,0.5555555555555556,0.9898989898989896,0.1666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5
183,0.5555555555555556,0.7575757575757578,0.6666666666666666,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3
452,1.0,0.8686868686868685,0.1666666666666666,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1946,0.1111111111111111,0.9898989898989896,0.1666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
3370,0.5555555555555556,0.9898989898989896,0.3333333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
354,0.5555555555555556,0.8686868686868685,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
183,0.6666666666666665,0.7878787878787854,0.3333333333333333,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.0,0.9696969696969688,0.3333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
453,0.7777777777777777,0.8585858585858581,0.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
645,0.5555555555555556,1.0,0.1666666666666666,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1013,0.4444444444444445,0.9898989898989896,0.3333333333333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
843,1.0,0.9595959595959584,0.1666666666666666,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
352,1.0,0.8888888888888893,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
968,0.6666666666666665,0.6565656565656575,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
280,0.6666666666666665,0.7676767676767682,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
1711,0.6666666666666665,0.7878787878787854,0.3333333333333333,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
280,0.7777777777777777,0.9898989898989896,0.3333333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
131,0.1111111111111111,0.9898989898989896,0.5,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2397,0.1111111111111111,0.9898989898989896,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
600,0.4444444444444445,0.9898989898989896,0.1666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
968,0.6666666666666665,0.5858585858585847,0.3333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
183,0.6666666666666665,0.7676767676767682,0.3333333333333333,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2567,0.3333333333333333,0.9797979797979792,0.1666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
2906,0.2222222222222222,0.9898989898989896,0.3333333333333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1567,0.7777777777777777,0.9898989898989896,0.1666666666666666,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
329,0.8888888888888888,0.9090909090909064,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,5
193,0.7777777777777777,0.9898989898989896,0.1666666666666666,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
183,0.6666666666666665,0.9696969696969688,0.1666666666666666,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,0.5555555555555556,0.9898989898989896,0.1666666666666666,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
